,id,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
332,7khpPruHJK39VTBUQ5WxUE,Stranger,MildOrange,0.412,0.109,0.113,0.491,0.334,0.452
29,1niIoI0IVTswfNxdyzxc4U,Quarter,Fuel,0.00012,0.254,0.683,0.93,0.422,0.201
